id,schedule_id,name,description,start,end,repeated,repeatUntil,createdAt,updatedAt
event1,schedule1,Morning Standup,Daily team sync meeting,"[""2024-02-01T09:00:00Z""]","[""2024-02-01T09:30:00Z""]",DAILY,2024-12-31T23:59:59Z,2024-01-26T00:00:00Z,2024-01-26T00:00:00Z
event2,schedule1,Sprint Planning,Bi-weekly sprint planning session,"[""2024-02-02T09:00:00Z""]","[""2024-02-02T11:00:00Z""]",NEVER,,2024-01-26T00:00:00Z,2024-01-26T00:00:00Z
event3,schedule1,Code Review,Review pending pull requests,"[""2024-02-05T14:00:00Z""]","[""2024-02-05T15:00:00Z""]",WEEKLY,2024-06-30T23:59:59Z,2024-01-26T00:00:00Z,2024-01-26T00:00:00Z
event4,schedule2,Dentist Appointment,Regular checkup at Dr. Smith,"[""2024-02-03T10:00:00Z""]","[""2024-02-03T11:00:00Z""]",NEVER,,2024-01-27T00:00:00Z,2024-01-27T00:00:00Z
event5,schedule2,Gym Session,Cardio and strength training - twice daily,"[""2024-02-04T06:00:00Z"",""2024-02-04T18:00:00Z""]","[""2024-02-04T07:00:00Z"",""2024-02-04T19:00:00Z""]",DAILY,,2024-01-27T00:00:00Z,2024-01-27T00:00:00Z
event6,schedule3,Client Meeting,Quarterly review with Acme Corp,"[""2024-02-01T08:00:00Z""]","[""2024-02-01T10:00:00Z""]",NEVER,,2024-01-28T00:00:00Z,2024-01-28T00:00:00Z
event7,schedule3,Team Lunch,Monthly team bonding lunch,"[""2024-02-06T12:00:00Z""]","[""2024-02-06T13:00:00Z""]",MONTHLY,2024-12-31T23:59:59Z,2024-01-28T00:00:00Z,2024-01-28T00:00:00Z
event8,schedule4,Yoga Class,Morning yoga - Tue/Thu each week,"[""2024-02-01T07:00:00Z"",""2024-02-03T07:00:00Z""]","[""2024-02-01T08:00:00Z"",""2024-02-03T08:00:00Z""]",WEEKLY,,2024-01-29T00:00:00Z,2024-01-29T00:00:00Z
event9,schedule4,Book Club,Monthly book discussion,"[""2024-02-03T18:00:00Z""]","[""2024-02-03T20:00:00Z""]",MONTHLY,2025-12-31T23:59:59Z,2024-01-29T00:00:00Z,2024-01-29T00:00:00Z
event10,schedule5,Project Deadline,Final submission for Project Alpha,"[""2024-02-01T17:00:00Z""]","[""2024-02-01T18:00:00Z""]",NEVER,,2024-01-30T00:00:00Z,2024-01-30T00:00:00Z
event11,schedule6,Piano Lesson,Weekly music lessons - Mon/Wed,"[""2024-02-05T15:00:00Z"",""2024-02-07T15:00:00Z""]","[""2024-02-05T16:00:00Z"",""2024-02-07T16:00:00Z""]",WEEKLY,2024-08-31T23:59:59Z,2024-01-31T00:00:00Z,2024-01-31T00:00:00Z
event12,schedule7,Conference Prep,Prepare slides and demo,"[""2025-11-19T09:00:00Z""]","[""2025-11-19T12:00:00Z""]",NEVER,,2024-01-26T00:00:00Z,2024-01-26T00:00:00Z
